"filename", "language", "JavaScript", "Markdown", "PHP", "PostCSS", "Vue", "YAML", "JSON", "XML", "JSON with Comments", "comment", "blank", "total"
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_28_103226_change_where_to_buy_column_on_items_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 7, 4, 30
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_28_110804_add_minimum_stock_to_items_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_28_133401_remove_price_from_items_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_28_133542_add_price_to_items_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_28_140525_create_inspections_table.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 0, 0, 6, 4, 35
"c:\xampp\htdocs\laravel\EMS\database\seeders\CategorySeeder.php", "PHP", 0, 0, 40, 0, 0, 0, 0, 0, 0, 3, 4, 47
"c:\xampp\htdocs\laravel\EMS\database\seeders\DatabaseSeeder.php", "PHP", 0, 0, 53, 0, 0, 0, 0, 0, 0, 28, 18, 99
"c:\xampp\htdocs\laravel\EMS\database\seeders\EdithistorySeeder.php", "PHP", 0, 0, 38, 0, 0, 0, 0, 0, 0, 30, 9, 77
"c:\xampp\htdocs\laravel\EMS\database\seeders\ImageTestSeeder.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 4, 24
"c:\xampp\htdocs\laravel\EMS\database\seeders\InventoryPlanSeeder.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 4, 4, 18
"c:\xampp\htdocs\laravel\EMS\database\seeders\ItemSeeder.php", "PHP", 0, 0, 83, 0, 0, 0, 0, 0, 0, 4, 4, 91
"c:\xampp\htdocs\laravel\EMS\database\seeders\LocationSeeder.php", "PHP", 0, 0, 49, 0, 0, 0, 0, 0, 0, 3, 4, 56
"c:\xampp\htdocs\laravel\EMS\database\seeders\UserSeeder.php", "PHP", 0, 0, 32, 0, 0, 0, 0, 0, 0, 3, 4, 39
"c:\xampp\htdocs\laravel\EMS\database\seeders\WishSeeder.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 4, 4, 18
"c:\xampp\htdocs\laravel\EMS\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 1, 12
"c:\xampp\htdocs\laravel\EMS\lang\ja.json", "JSON", 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 1, 142
"c:\xampp\htdocs\laravel\EMS\lang\ja\auth.php", "PHP", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 5, 11
"c:\xampp\htdocs\laravel\EMS\lang\ja\pagination.php", "PHP", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 5, 11
"c:\xampp\htdocs\laravel\EMS\lang\ja\passwords.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 5, 14
"c:\xampp\htdocs\laravel\EMS\lang\ja\validation.php", "PHP", 0, 0, 246, 0, 0, 0, 0, 0, 0, 21, 9, 276
"c:\xampp\htdocs\laravel\EMS\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 6229, 0, 0, 0, 1, 6230
"c:\xampp\htdocs\laravel\EMS\package.json", "JSON", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 1, 27
"c:\xampp\htdocs\laravel\EMS\phpunit.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 29, 0, 2, 1, 32
"c:\xampp\htdocs\laravel\EMS\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\laravel\EMS\public\index.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 0, 0, 30, 12, 56
"c:\xampp\htdocs\laravel\EMS\resources\css\app.css", "PostCSS", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\laravel\EMS\resources\js\Components\ApplicationLogo.vue", "Vue", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\xampp\htdocs\laravel\EMS\resources\js\Components\BellNotification.vue", "Vue", 0, 0, 0, 0, 34, 0, 0, 0, 0, 3, 6, 43
